Name Inserent / User name,Longitude,Latitude
Arzu,13.34713392,52.54833962
Arzu,13.34571584,52.54914603
Arzu,13.34605779,52.54748688
Arzu,13.41955462,52.50423023
Arzu,13.40108993,52.49796761
Arzu,13.40065661,52.49930352
Arzu,13.34603421,52.54734159
Arzu,13.3454527,52.54702538
Arzu,13.3454527,52.54702538
Arzu,13.34598043,52.54856725
Arzu,13.40127384,52.49772982
Arzu,13.34589864,52.54884873
Arzu,13.34533807,52.54914462
Arzu,13.34592378,52.54859715
Arzu,13.34556758,52.54904675
Arzu,13.3470763,52.5476964
Arzu,13.42025105,52.50047894
Arzu,13.40134787,52.49774061
Arzu,13.42007769,52.5018397
Arzu,13.41998248,52.500456
Arzu,13.41824608,52.50013126
Arzu,13.362158,52.50412946
Arzu,13.40089218,52.49772622
Berlin Aspire,13.44090518,52.48207548
Berlin Aspire,13.42455646,52.48126389
Berlin Aspire,13.44197658,52.48288993
Berlin Aspire,13.45015506,52.48881768
Berlin Aspire,13.44939156,52.48853366
Berlin Aspire,13.40664547,52.54762793
Berlin Aspire,13.32415987,52.52120657
Berlin Aspire,13.40315197,52.49193442
Berlin Aspire,13.40435434,52.49153423
Berlin Aspire,13.40629808,52.49230045
Berlin Aspire,13.39761018,52.49535987
Berlin Aspire,13.40778013,52.54719017
Berlin Aspire,13.39580429,52.49268772
Berlin Aspire,13.33755319,52.5318441
Berlin Aspire,13.4048604,52.48897947
Berlin Aspire,13.32640675,52.52240826
Berlin Aspire,13.40607087,52.54542834
Berlin Aspire,13.40660403,52.54731832
Berlin Aspire,13.42585904,52.48236703
Berlin Aspire,13.34789108,52.53984591
Berlin Aspire,13.44987899,52.48922131
Berlin Aspire,13.45019902,52.49007284
Berlin Aspire,13.34996729,52.54146507
Berlin Aspire,13.34970134,52.54140335
Cristian,13.4302747,52.4855994
Cristian,13.33512055,52.49022188
Cristian,13.43880762,52.49932481
Cristian,13.43561146,52.49095046
Cristian,13.33365194,52.4984155
Cristian,13.35171626,52.52245862
Cristian,13.4705202,52.5167788
Cristian,13.45508365,52.51173128
Cristian,13.41772007,52.55246909
Cristian,13.29116821,52.50535827
Cristian,13.28925917,52.51968659
Cristian,13.44457556,52.52888577
Cristian,13.41453721,52.4891615
Cristian,13.38805738,52.48924571
Cristian,13.4710782,52.51680873
Cristian,13.40587347,52.54783851
Cristian,13.29739949,52.50614231
Cristian,13.29739949,52.50614231
Cristian,13.46491414,52.51536708
Cristian,13.47255726,52.51651373
Cristian,13.46411425,52.51547871
Rouven,13.28794365,52.51978297
Rouven,13.44125305,52.48438403
Rouven,13.42742017,52.5035541
Rouven,13.36555652,52.55218977
Rouven,13.36866644,52.54737442
Rouven,13.45301605,52.52585946
Rouven,13.40393136,52.54808269
Rouven,13.34566357,52.49087405
Rouven,13.38693613,52.55826831
Rouven,13.38620269,52.55263332
Rouven,13.40387754,52.54810325
Rouven,13.34417139,52.55695708
Rouven,13.43878782,52.48521512
Rouven,13.41784756,52.49270726
Rouven,13.38468979,52.48951571
Rouven,13.40416357,52.49780109
Rouven,13.42170489,52.55146052
Rouven,13.41647824,52.49143523
Rouven,13.41794361,52.50476338
Rouven,13.45731684,52.50761949
Rouven,13.34887112,52.4965066
Raja Jooseppi,13.39627435,52.53613543
Raja Jooseppi,13.39627435,52.53613543
Raja Jooseppi,13.4048492,52.50881221
Raja Jooseppi,13.4048492,52.50881221
Raja Jooseppi,13.39392074,52.5369207
Raja Jooseppi,13.39584825,52.53783773
Raja Jooseppi,13.3966258,52.53784128
Raja Jooseppi,13.3969107,52.53739264
Raja Jooseppi,13.40580881,52.51104038
Raja Jooseppi,13.39912733,52.53771463
Raja Jooseppi,13.39566782,52.53650291
Raja Jooseppi,13.39479705,52.53768597
Raja Jooseppi,13.39900463,52.53559366
Raja Jooseppi,13.39663098,52.53674252
Raja Jooseppi,13.39705201,52.53735177
Raja Jooseppi,13.40192264,52.53431277
Raja Jooseppi,13.39713544,52.53628035
Raja Jooseppi,13.39713544,52.53628035
Raja Jooseppi,13.39447553,52.53751499
Raja Jooseppi,13.3962544,52.53258766
